DEBUG:root:x,y,area_p,Ax,Ay
DEBUG:root:521,366,95,-16,-33
DEBUG:root:691,367,56,-59,60
DEBUG:root:743,399,43,-59,60
DEBUG:root:689,368,56,-59,60
DEBUG:root:630,355,66,40,60
DEBUG:root:525,360,84,28,-2
DEBUG:root:527,359,80,35,9
DEBUG:root:527,360,80,30,2
DEBUG:root:522,342,93,59,58
DEBUG:root:492,296,97,59,60
DEBUG:root:485,222,63,59,60
DEBUG:root:481,213,61,59,60
DEBUG:root:486,209,63,59,60
DEBUG:root:489,202,56,59,60
DEBUG:root:125,362,27,60,6
DEBUG:root:327,366,47,60,-58
DEBUG:root:631,365,39,44,60
DEBUG:root:820,363,29,-60,60
DEBUG:root:339,50,0,59,60
DEBUG:root:538,52,0,-59,60
DEBUG:root:603,52,0,-60,60
DEBUG:root:612,57,0,-60,60
DEBUG:root:631,67,0,-60,60
DEBUG:root:630,69,0,-60,60
DEBUG:root:896,405,10,-60,60
DEBUG:root:855,403,19,-60,60
DEBUG:root:835,405,21,-59,60
DEBUG:root:579,72,0,-60,60
DEBUG:root:840,413,18,-59,60
DEBUG:root:797,419,21,-59,60
DEBUG:root:511,85,0,-59,60
DEBUG:root:694,437,18,-59,59
DEBUG:root:448,92,0,33,60
DEBUG:root:583,446,19,-40,-55
DEBUG:root:376,105,0,59,60
DEBUG:root:483,461,14,59,-56
DEBUG:root:283,122,0,60,59
DEBUG:root:391,463,12,60,-59
DEBUG:root:233,128,0,60,59
DEBUG:root:304,478,12,60,-59
DEBUG:root:211,132,0,60,59
DEBUG:root:271,491,13,60,-59
DEBUG:root:226,496,14,60,-59
DEBUG:root:156,142,0,60,60
DEBUG:root:154,499,18,60,-59
DEBUG:root:115,144,0,60,60
DEBUG:root:143,498,19,60,-59
DEBUG:root:135,141,0,60,60
DEBUG:root:151,495,17,60,-59
DEBUG:root:170,142,0,60,60
DEBUG:root:206,495,19,60,-59
DEBUG:root:224,148,0,60,59
DEBUG:root:284,500,17,60,-59
DEBUG:root:286,151,0,60,59
DEBUG:root:385,502,16,60,-59
DEBUG:root:353,152,0,59,59
DEBUG:root:416,510,14,60,-59
DEBUG:root:354,150,0,59,59
DEBUG:root:489,497,17,60,-59
DEBUG:root:418,146,0,59,60
DEBUG:root:563,485,21,53,-57
DEBUG:root:509,134,0,-58,60
DEBUG:root:594,479,21,-37,-57
DEBUG:root:563,125,0,-59,60
DEBUG:root:594,480,19,-37,-57
DEBUG:root:565,122,0,-59,60
DEBUG:root:632,476,21,-54,-57
DEBUG:root:845,114,0,-60,60
DEBUG:root:604,121,0,-59,60
DEBUG:root:749,465,21,-59,59
DEBUG:root:678,105,0,-60,60
DEBUG:root:825,463,21,-59,60
DEBUG:root:758,95,0,-60,60
DEBUG:root:843,457,17,-59,60
DEBUG:root:768,87,1,-60,60
DEBUG:root:839,458,18,-59,60
DEBUG:root:770,85,1,-60,60
DEBUG:root:806,452,23,-59,60
DEBUG:root:766,76,1,-60,60
DEBUG:root:781,448,27,-59,60
DEBUG:root:723,77,0,-60,60
DEBUG:root:729,448,26,-59,60
DEBUG:root:686,78,0,-60,60
DEBUG:root:670,460,26,-58,-56
DEBUG:root:617,89,1,-60,60
DEBUG:root:897,87,0,-60,60
DEBUG:root:621,473,24,-51,-57
DEBUG:root:540,105,0,-59,60
DEBUG:root:680,475,25,-59,-57
DEBUG:root:524,114,0,-59,60
DEBUG:root:730,493,24,-59,-58
DEBUG:root:768,114,0,-60,60
DEBUG:root:492,122,1,-52,60
DEBUG:root:783,499,22,-59,-50
DEBUG:root:438,125,1,59,60
DEBUG:root:713,123,0,-60,60
DEBUG:root:414,127,1,59,60
DEBUG:root:839,514,14,-59,60
DEBUG:root:358,127,1,59,60
DEBUG:root:862,513,11,-59,60
DEBUG:root:280,123,1,60,59
DEBUG:root:210,110,1,60,59
DEBUG:root:177,95,1,60,59
DEBUG:root:154,89,1,60,59
DEBUG:root:192,92,1,60,59
DEBUG:root:483,95,0,-59,60
DEBUG:root:271,106,1,60,59
DEBUG:root:561,108,0,-59,60
DEBUG:root:318,122,0,60,59
DEBUG:root:317,127,1,60,59
DEBUG:root:612,125,0,-59,60
DEBUG:root:341,130,1,59,59
DEBUG:root:640,128,0,-60,60
DEBUG:root:674,131,1,-60,60
DEBUG:root:409,149,1,59,60
DEBUG:root:715,146,1,-60,60
DEBUG:root:447,161,1,59,60
DEBUG:root:762,160,0,-60,60
DEBUG:root:770,163,0,-60,60
DEBUG:root:916,576,3,-59,21
DEBUG:root:828,603,7,-59,-59
DEBUG:root:491,179,1,59,60
DEBUG:root:823,181,0,-60,60
DEBUG:root:714,593,9,-57,-59
DEBUG:root:881,185,1,-60,60
DEBUG:root:539,197,1,-1,60
DEBUG:root:559,612,6,60,-59
DEBUG:root:531,204,1,52,60
DEBUG:root:492,623,5,60,-60
DEBUG:root:545,218,1,48,60
DEBUG:root:908,220,1,-60,60
DEBUG:root:559,235,1,49,60
DEBUG:root:927,234,1,-60,60
DEBUG:root:489,633,4,60,-60
DEBUG:root:545,238,1,59,60
DEBUG:root:913,234,1,-60,60
DEBUG:root:468,632,4,60,-60
DEBUG:root:425,623,6,60,-60
DEBUG:root:391,613,8,60,-60
DEBUG:root:456,234,1,59,60
DEBUG:root:834,234,1,-60,60
DEBUG:root:451,612,8,60,-60
DEBUG:root:487,218,1,59,60
DEBUG:root:873,217,1,-60,60
DEBUG:root:489,588,12,60,-59
DEBUG:root:522,201,1,57,60
DEBUG:root:927,201,1,-60,60
DEBUG:root:524,590,11,60,-59
